customer_id,amount,date,failure_reason,previous_successes,previous_failures,retry_count
C0134,9999,2026-08-06,mandate_expired,1,0,0
C0135,4999,2026-08-04,mandate_expired,18,2,2
C0136,4999,2026-08-03,mandate_expired,21,2,2
C0137,999,2026-08-10,mandate_expired,0,5,1
C0138,2499,2026-08-02,insufficient_funds,21,1,3
C0139,1999,2026-08-18,mandate_expired,5,5,0
C0140,1999,2026-08-08,suspicious_reversal,16,5,0
C0141,1999,2026-07-31,mandate_expired,18,5,0
C0142,999,2026-08-12,mandate_changed_recently,6,2,0
C0143,499,2026-08-08,mandate_expired,2,2,3
C0144,799,2026-08-20,mandate_expired,7,1,0
C0145,9999,2026-08-26,card_expired,18,1,2
C0146,1999,2026-08-11,card_expired,25,1,3
C0147,4999,2026-08-13,card_expired,24,5,3
C0148,1499,2026-08-12,mandate_changed_recently,25,1,3
C0149,2499,2026-08-18,insufficient_funds,3,2,0
C0150,2499,2026-08-18,suspicious_reversal,21,4,0
C0151,1999,2026-08-17,bank_timeout,2,4,2
C0152,2499,2026-08-07,mandate_expired,19,1,0
C0153,1499,2026-07-28,suspicious_reversal,17,2,0
C0154,9999,2026-07-28,card_expired,8,3,1
C0155,2499,2026-08-17,suspicious_reversal,25,4,1
C0156,999,2026-08-07,bank_timeout,18,2,0
C0157,9999,2026-07-29,suspicious_reversal,15,0,2
C0158,1499,2026-08-10,card_expired,13,1,3
C0159,999,2026-07-29,card_expired,2,1,1
C0160,799,2026-08-11,card_expired,8,5,0
C0161,2499,2026-08-21,bank_timeout,5,1,1
C0162,1499,2026-08-16,mandate_changed_recently,21,0,1
C0163,1499,2026-07-29,bank_timeout,23,1,2
C0164,9999,2026-08-16,insufficient_funds,14,4,3
C0165,999,2026-08-12,card_expired,6,2,1
C0166,4999,2026-08-12,card_expired,8,3,1
C0167,499,2026-08-26,insufficient_funds,23,4,1
C0168,9999,2026-08-21,bank_timeout,8,5,3
C0169,999,2026-08-18,insufficient_funds,1,3,0
C0170,4999,2026-08-13,suspicious_reversal,6,1,2
C0171,999,2026-08-02,mandate_expired,10,2,3
C0172,499,2026-08-08,mandate_expired,4,5,0
C0173,2499,2026-08-12,mandate_expired,11,2,2
C0174,4999,2026-08-08,mandate_changed_recently,14,2,1
C0175,799,2026-08-24,insufficient_funds,9,0,1
C0176,499,2026-08-19,mandate_changed_recently,13,5,3
C0177,499,2026-07-31,suspicious_reversal,0,0,2
C0178,999,2026-08-23,suspicious_reversal,16,1,3
C0179,4999,2026-08-20,card_expired,14,2,3
C0180,999,2026-08-09,suspicious_reversal,16,2,2
C0181,999,2026-08-19,card_expired,7,0,3
C0182,1499,2026-08-08,mandate_changed_recently,7,0,1
C0183,499,2026-08-04,card_expired,16,2,0
C0184,799,2026-08-12,mandate_expired,18,0,2
C0185,1499,2026-07-30,insufficient_funds,4,5,2
C0186,9999,2026-08-11,mandate_changed_recently,16,4,3
C0187,1999,2026-08-14,insufficient_funds,6,1,3
C0188,1499,2026-08-18,mandate_expired,12,3,1
C0189,999,2026-08-07,insufficient_funds,24,3,2
C0190,2499,2026-08-05,mandate_expired,19,3,3
C0191,1999,2026-08-18,card_expired,5,0,0
C0192,4999,2026-08-02,mandate_changed_recently,24,1,1
C0193,2499,2026-08-19,insufficient_funds,25,3,2
C0194,9999,2026-08-18,card_expired,22,0,2
C0195,799,2026-08-21,bank_timeout,3,2,3
C0196,9999,2026-08-06,mandate_changed_recently,15,5,2
C0197,1999,2026-08-18,insufficient_funds,22,5,3
C0198,9999,2026-08-25,mandate_expired,10,3,2
C0199,499,2026-08-01,mandate_changed_recently,14,1,2
C0200,9999,2026-08-18,mandate_expired,4,2,1
