payment_id,amount,failure_reason,payment_method,merchant_type,previous_successes,previous_failures,retry_count,days_since_last_payment,customer_tenure_months,mandate_age_days,average_amount,amount_vs_average,recent_success_rate,failure_frequency,retry_interval_hours,recovered
PX000082,1999,bank_timeout,netbanking,saas,10,2,3,46,11,230,1635.67,1.222,0.833,0.04348,6.72,1
PX000083,4999,insufficient_funds,wallet,ecommerce,13,2,1,35,46,404,6345.18,0.788,0.867,0.05714,5.66,1
PX000084,999,expired_card,upi,media,11,1,2,57,46,295,1266.03,0.789,0.917,0.01754,32.86,1
PX000085,4999,bank_timeout,upi,media,8,2,3,47,37,564,4512.37,1.108,0.8,0.04255,40.17,1
PX000086,4999,bank_timeout,netbanking,saas,5,2,0,12,11,143,4639.27,1.078,0.714,0.16667,23.27,1
PX000087,2499,expired_card,netbanking,education,9,1,0,18,12,582,3313.88,0.754,0.9,0.05556,38.63,1
PX000088,2499,insufficient_funds,upi,ecommerce,6,1,1,47,10,154,3333.46,0.75,0.857,0.02128,40.92,0
PX000089,499,insufficient_funds,netbanking,subscription,14,0,3,15,19,368,501.11,0.996,1.0,0.0,28.18,1
PX000090,9999,expired_card,wallet,media,14,2,2,48,37,280,13838.44,0.723,0.875,0.04167,42.47,1
PX000091,999,expired_card,upi,ecommerce,8,2,3,24,25,690,640.06,1.561,0.8,0.08333,36.11,0
PX000092,2499,suspicious_reversal,upi,education,6,5,0,27,4,468,1902.31,1.314,0.545,0.18519,42.68,0
PX000093,499,insufficient_funds,wallet,saas,7,0,1,5,4,723,328.96,1.517,1.0,0.0,6.8,0
PX000094,4999,mandate_expired,upi,education,11,2,3,42,39,626,3310.32,1.51,0.846,0.04762,36.84,1
PX000095,9999,insufficient_funds,card,education,11,0,3,27,4,299,6693.02,1.494,1.0,0.0,11.06,1
PX000096,9999,expired_card,wallet,ecommerce,12,3,3,58,31,329,7446.33,1.343,0.8,0.05172,10.8,1
PX000097,2499,bank_timeout,netbanking,saas,6,2,1,25,18,555,1960.57,1.275,0.75,0.08,43.53,1
PX000098,999,expired_card,card,media,12,2,3,27,15,720,1386.65,0.72,0.857,0.07407,43.54,0
PX000099,19999,insufficient_funds,upi,ecommerce,9,2,0,46,60,405,12337.88,1.621,0.818,0.04348,15.53,1
PX000100,1499,expired_card,wallet,ecommerce,3,1,2,37,14,325,1430.47,1.048,0.75,0.02703,3.91,0
PX000101,4999,suspicious_reversal,upi,subscription,10,2,2,3,7,258,5844.47,0.855,0.833,0.66667,1.38,0
PX000102,2499,expired_card,upi,education,7,1,0,25,5,129,3147.57,0.794,0.875,0.04,44.47,1
PX000103,2499,suspicious_reversal,netbanking,subscription,8,3,2,35,31,113,2978.35,0.839,0.727,0.08571,4.06,0
PX000104,999,suspicious_reversal,netbanking,saas,10,3,2,38,29,677,805.51,1.24,0.769,0.07895,33.41,0
PX000105,2499,bank_timeout,card,subscription,8,4,1,54,42,358,1782.56,1.402,0.667,0.07407,7.75,1
PX000106,999,bank_timeout,netbanking,ecommerce,5,3,1,1,28,182,964.27,1.036,0.625,3.0,19.22,0
PX000107,499,insufficient_funds,wallet,saas,5,2,3,37,15,558,413.1,1.208,0.714,0.05405,37.91,0
PX000108,1499,suspicious_reversal,wallet,media,6,2,0,29,10,714,1468.87,1.021,0.75,0.06897,6.72,1
PX000109,4999,suspicious_reversal,wallet,ecommerce,10,4,2,19,12,23,4566.44,1.095,0.714,0.21053,10.01,0
PX000110,1999,bank_timeout,netbanking,education,10,0,2,30,34,91,1580.76,1.265,1.0,0.0,35.99,1
PX000111,1499,suspicious_reversal,wallet,media,10,2,3,7,46,176,1227.87,1.221,0.833,0.28571,2.06,0
PX000112,1499,bank_timeout,wallet,ecommerce,4,4,3,32,56,230,1827.51,0.82,0.5,0.125,36.83,0
PX000113,1999,suspicious_reversal,upi,saas,9,4,3,17,59,303,1267.3,1.577,0.692,0.23529,21.79,0
PX000114,19999,insufficient_funds,wallet,saas,9,2,1,50,58,188,27514.97,0.727,0.818,0.04,37.77,0
PX000115,2499,suspicious_reversal,upi,subscription,9,2,2,31,18,189,2824.72,0.885,0.818,0.06452,6.14,0
PX000116,1499,suspicious_reversal,card,subscription,9,1,3,7,36,679,2035.63,0.736,0.9,0.14286,15.45,0
PX000117,4999,mandate_expired,netbanking,saas,5,3,3,57,54,547,6503.77,0.769,0.625,0.05263,6.98,0
PX000118,19999,insufficient_funds,wallet,saas,5,2,0,21,42,390,24348.55,0.821,0.714,0.09524,18.5,1
PX000119,1499,suspicious_reversal,card,saas,8,0,2,46,2,371,1766.94,0.848,1.0,0.0,41.79,0
PX000120,19999,expired_card,card,education,8,2,2,6,30,649,24226.15,0.826,0.8,0.33333,9.99,1
PX000121,999,suspicious_reversal,upi,education,5,0,3,44,60,693,1204.0,0.83,1.0,0.0,22.9,0
PX000122,9999,mandate_expired,upi,ecommerce,8,1,0,46,50,363,13352.63,0.749,0.889,0.02174,2.05,1
PX000123,499,mandate_expired,netbanking,subscription,9,3,2,35,40,51,367.39,1.358,0.75,0.08571,3.78,0
PX000124,19999,insufficient_funds,upi,education,4,0,2,52,45,172,20771.33,0.963,1.0,0.0,20.75,0
PX000125,19999,mandate_expired,upi,saas,8,2,1,28,26,239,16886.85,1.184,0.8,0.07143,12.42,1
PX000126,499,bank_timeout,wallet,media,6,0,1,46,11,721,317.32,1.573,1.0,0.0,36.03,1
PX000127,9999,mandate_expired,card,education,5,0,1,34,37,436,12336.93,0.81,1.0,0.0,36.27,0
PX000128,1999,suspicious_reversal,upi,ecommerce,10,1,3,56,46,91,1516.01,1.319,0.909,0.01786,36.85,1
PX000129,999,suspicious_reversal,wallet,education,12,2,0,13,42,394,984.12,1.015,0.857,0.15385,27.65,1
PX000130,1999,mandate_expired,wallet,saas,12,0,1,36,11,162,2373.24,0.842,1.0,0.0,39.8,0
PX000131,19999,mandate_expired,card,ecommerce,7,3,3,7,14,247,25050.44,0.798,0.7,0.42857,18.71,0
PX000132,9999,suspicious_reversal,netbanking,subscription,10,0,2,41,47,694,12631.94,0.792,1.0,0.0,13.67,1
PX000133,2499,suspicious_reversal,netbanking,media,6,1,0,14,55,401,1929.49,1.295,0.857,0.07143,8.25,0
PX000134,9999,insufficient_funds,wallet,education,9,4,3,31,19,371,9494.96,1.053,0.692,0.12903,16.64,1
PX000135,999,mandate_expired,wallet,ecommerce,10,1,3,2,49,451,1141.51,0.875,0.909,0.5,35.97,0
PX000136,4999,expired_card,card,ecommerce,4,4,1,42,49,628,3488.46,1.433,0.5,0.09524,44.49,1
PX000137,1499,suspicious_reversal,card,subscription,3,1,0,25,52,561,1970.44,0.761,0.75,0.04,31.5,1
PX000138,9999,insufficient_funds,netbanking,media,8,1,3,14,48,487,8808.9,1.135,0.889,0.07143,42.62,0
PX000139,2499,mandate_expired,card,education,13,1,3,5,36,363,3274.21,0.763,0.929,0.2,30.43,0
PX000140,999,mandate_expired,upi,saas,14,4,1,34,33,78,779.84,1.281,0.778,0.11765,40.43,1
PX000141,19999,insufficient_funds,netbanking,ecommerce,10,4,2,49,35,624,14455.15,1.384,0.714,0.08163,28.18,1
PX000142,9999,expired_card,card,ecommerce,10,3,0,24,44,593,11675.3,0.856,0.769,0.125,22.75,0
PX000143,1499,insufficient_funds,card,subscription,9,3,2,25,26,123,1787.79,0.838,0.75,0.12,37.77,1
PX000144,999,insufficient_funds,netbanking,media,3,1,3,11,4,387,1164.19,0.858,0.75,0.09091,27.83,1
PX000145,1499,suspicious_reversal,netbanking,subscription,6,3,2,53,25,583,1942.33,0.772,0.667,0.0566,33.68,0
PX000146,2499,mandate_expired,card,education,9,2,0,46,37,259,2796.07,0.894,0.818,0.04348,24.92,1
PX000147,2499,bank_timeout,card,subscription,10,5,2,41,46,563,3495.06,0.715,0.667,0.12195,23.89,1
PX000148,1999,mandate_expired,netbanking,subscription,5,2,1,2,29,408,1651.23,1.211,0.714,1.0,28.84,1
PX000149,499,suspicious_reversal,wallet,ecommerce,10,4,1,17,32,272,317.63,1.571,0.714,0.23529,37.88,0
PX000150,2499,mandate_expired,wallet,ecommerce,6,2,2,46,17,686,2820.61,0.886,0.75,0.04348,21.0,0
PX000151,499,mandate_expired,wallet,saas,6,1,3,38,54,335,307.49,1.623,0.857,0.02632,12.35,1
PX000152,19999,insufficient_funds,upi,ecommerce,2,1,1,33,19,241,20773.33,0.963,0.667,0.0303,11.04,1
PX000153,1999,suspicious_reversal,card,subscription,8,2,1,56,19,109,2793.91,0.715,0.8,0.03571,18.51,0
PX000154,1499,suspicious_reversal,netbanking,subscription,9,0,1,43,47,730,908.37,1.65,1.0,0.0,8.15,0
PX000155,2499,bank_timeout,upi,saas,11,1,0,60,51,163,3128.5,0.799,0.917,0.01667,8.51,1
PX000156,4999,mandate_expired,upi,ecommerce,9,0,1,15,41,668,6187.81,0.808,1.0,0.0,46.57,1
PX000157,4999,mandate_expired,upi,ecommerce,7,5,2,53,11,448,4112.05,1.216,0.583,0.09434,5.23,0
PX000158,999,bank_timeout,netbanking,ecommerce,8,2,3,59,46,72,1262.11,0.792,0.8,0.0339,28.72,1
PX000159,1499,expired_card,upi,subscription,9,2,2,20,27,172,1370.99,1.093,0.818,0.1,35.76,0
PX000160,499,mandate_expired,upi,ecommerce,7,3,3,1,19,135,553.11,0.902,0.7,3.0,18.54,0
PX000161,4999,expired_card,card,saas,13,1,0,36,49,323,3977.11,1.257,0.929,0.02778,42.43,1
PX000162,499,mandate_expired,wallet,saas,9,2,0,14,14,84,562.6,0.887,0.818,0.14286,37.59,0
PX000163,2499,insufficient_funds,wallet,ecommerce,9,1,0,11,57,696,1890.08,1.322,0.9,0.09091,46.07,1
PX000164,1499,expired_card,upi,education,10,2,2,10,56,243,1296.64,1.156,0.833,0.2,22.07,1
PX000165,4999,bank_timeout,card,saas,6,3,0,47,3,275,4212.51,1.187,0.667,0.06383,8.72,0
PX000166,499,bank_timeout,card,media,5,2,1,12,29,243,327.44,1.524,0.714,0.16667,3.2,0
PX000167,1999,insufficient_funds,wallet,media,7,6,0,53,45,267,1206.38,1.657,0.538,0.11321,24.59,0
PX000168,9999,insufficient_funds,wallet,saas,5,1,2,2,15,405,11598.22,0.862,0.833,0.5,31.27,1
PX000169,1499,mandate_expired,netbanking,subscription,8,0,0,7,59,70,1321.16,1.135,1.0,0.0,33.81,0
PX000170,19999,mandate_expired,netbanking,subscription,4,3,0,9,48,590,22833.67,0.876,0.571,0.33333,9.75,0
PX000171,1499,mandate_expired,upi,saas,4,2,2,20,40,656,1574.51,0.952,0.667,0.1,44.16,1
PX000172,999,bank_timeout,wallet,saas,8,1,3,19,17,413,633.75,1.576,0.889,0.05263,4.27,0
PX000173,1499,bank_timeout,upi,saas,10,3,3,7,39,486,939.71,1.595,0.769,0.42857,13.59,1
PX000174,999,bank_timeout,wallet,education,10,2,0,57,29,233,803.95,1.243,0.833,0.03509,47.97,1
PX000175,1499,bank_timeout,wallet,subscription,6,1,0,45,53,75,1002.0,1.496,0.857,0.02222,15.28,1
PX000176,19999,mandate_expired,wallet,education,9,1,0,22,21,384,26128.72,0.765,0.9,0.04545,14.39,1
PX000177,999,insufficient_funds,netbanking,media,8,0,3,3,2,241,995.4,1.004,1.0,0.0,17.43,1
PX000178,19999,mandate_expired,netbanking,education,9,2,3,52,1,120,20114.97,0.994,0.818,0.03846,20.66,1
PX000179,4999,suspicious_reversal,netbanking,saas,11,2,0,45,52,677,3298.47,1.516,0.846,0.04444,5.73,0
PX000180,1999,expired_card,wallet,subscription,10,1,1,18,38,170,2190.95,0.912,0.909,0.05556,37.87,1
PX000181,499,suspicious_reversal,card,media,9,3,0,34,60,241,428.08,1.166,0.75,0.08824,0.84,0
PX000182,1499,insufficient_funds,wallet,subscription,9,0,0,3,10,724,1837.51,0.816,1.0,0.0,45.03,0
PX000183,499,bank_timeout,upi,education,6,1,3,59,49,321,477.89,1.044,0.857,0.01695,26.74,1
PX000184,1999,mandate_expired,netbanking,saas,15,2,2,49,14,524,2412.07,0.829,0.882,0.04082,19.12,0
PX000185,19999,mandate_expired,wallet,saas,2,4,2,58,37,517,27805.63,0.719,0.333,0.06897,46.63,0
PX000186,19999,expired_card,wallet,education,8,0,3,10,23,612,19749.16,1.013,1.0,0.0,2.81,1
PX000187,499,mandate_expired,upi,subscription,10,3,0,52,28,631,520.24,0.959,0.769,0.05769,16.84,1
PX000188,1499,insufficient_funds,upi,education,15,2,2,24,9,599,1207.21,1.242,0.882,0.08333,35.9,1
PX000189,499,expired_card,netbanking,education,11,0,1,60,35,635,651.83,0.766,1.0,0.0,45.69,1
PX000190,4999,insufficient_funds,card,subscription,4,1,1,14,22,479,4309.19,1.16,0.8,0.07143,29.71,0
PX000191,19999,expired_card,netbanking,education,11,1,0,7,46,705,21580.65,0.927,0.917,0.14286,20.24,0
PX000192,1499,bank_timeout,netbanking,media,6,0,2,46,17,256,1366.29,1.097,1.0,0.0,12.24,0
PX000193,9999,insufficient_funds,wallet,ecommerce,4,2,0,13,55,664,13118.81,0.762,0.667,0.15385,32.77,1
PX000194,1499,mandate_expired,card,ecommerce,9,2,0,45,1,125,1409.91,1.063,0.818,0.04444,23.63,1
PX000195,9999,bank_timeout,netbanking,ecommerce,6,2,2,3,30,19,9439.27,1.059,0.75,0.66667,42.46,1
PX000196,1999,mandate_expired,wallet,education,9,6,2,31,41,622,1889.23,1.058,0.6,0.19355,39.44,0
PX000197,9999,suspicious_reversal,netbanking,ecommerce,13,2,0,44,13,183,13009.86,0.769,0.867,0.04545,15.2,1
PX000198,9999,bank_timeout,netbanking,saas,9,0,1,15,49,43,12319.01,0.812,1.0,0.0,24.85,1
PX000199,999,expired_card,card,education,13,3,3,21,38,510,776.47,1.287,0.812,0.14286,15.93,1
PX000200,9999,bank_timeout,upi,saas,6,1,1,2,4,115,11327.66,0.883,0.857,0.5,30.41,0
PX000201,1499,expired_card,wallet,saas,6,5,2,44,23,398,1224.07,1.225,0.545,0.11364,16.07,0
PX000202,4999,expired_card,netbanking,saas,8,5,1,44,39,515,3944.28,1.267,0.615,0.11364,13.96,0
PX000203,2499,insufficient_funds,wallet,ecommerce,8,3,1,34,1,188,2739.13,0.912,0.727,0.08824,22.68,1
PX000204,9999,insufficient_funds,upi,subscription,3,1,3,26,22,524,13315.46,0.751,0.75,0.03846,34.36,1
PX000205,1499,suspicious_reversal,upi,subscription,12,1,2,49,46,515,1535.39,0.976,0.923,0.02041,18.28,0
PX000206,499,suspicious_reversal,card,media,12,3,1,34,15,392,630.2,0.792,0.8,0.08824,7.1,0
PX000207,4999,mandate_expired,wallet,saas,6,0,1,5,56,136,3762.79,1.329,1.0,0.0,29.39,1
PX000208,999,suspicious_reversal,card,ecommerce,8,2,0,24,21,231,703.08,1.421,0.8,0.08333,33.5,1
PX000209,19999,insufficient_funds,card,subscription,7,0,2,13,55,40,14229.65,1.405,1.0,0.0,23.94,1
PX000210,1499,bank_timeout,netbanking,saas,9,0,3,20,1,174,916.34,1.636,1.0,0.0,5.02,1
PX000211,4999,insufficient_funds,upi,subscription,8,2,0,56,34,32,5259.54,0.95,0.8,0.03571,26.54,1
PX000212,9999,mandate_expired,wallet,subscription,12,2,0,24,40,229,12773.39,0.783,0.857,0.08333,18.5,0
PX000213,19999,mandate_expired,netbanking,education,7,4,1,51,12,214,27253.36,0.734,0.636,0.07843,19.27,0
PX000214,1999,suspicious_reversal,netbanking,education,7,2,3,11,6,22,1849.63,1.081,0.778,0.18182,31.34,0
PX000215,499,bank_timeout,wallet,saas,8,1,2,46,35,611,373.83,1.335,0.889,0.02174,10.92,1
PX000216,999,mandate_expired,upi,education,12,4,3,36,22,632,853.53,1.17,0.75,0.11111,23.47,0
PX000217,2499,expired_card,netbanking,media,12,4,0,32,48,25,2265.09,1.103,0.75,0.125,23.03,1
PX000218,499,bank_timeout,upi,education,7,1,2,28,14,152,508.49,0.981,0.875,0.03571,13.81,0
PX000219,1499,insufficient_funds,upi,education,6,3,1,37,34,720,1683.66,0.89,0.667,0.08108,43.19,0
PX000220,9999,bank_timeout,wallet,education,6,0,1,44,60,404,12685.81,0.788,1.0,0.0,13.79,1
PX000221,19999,bank_timeout,upi,media,4,3,2,4,33,328,15239.0,1.312,0.571,0.75,33.72,1
PX000222,499,mandate_expired,card,subscription,7,1,3,14,34,638,540.2,0.924,0.875,0.07143,8.88,0
PX000223,1999,insufficient_funds,netbanking,media,4,3,2,47,59,605,1961.07,1.019,0.571,0.06383,24.67,0
PX000224,1999,insufficient_funds,card,media,4,1,0,51,41,52,1248.15,1.602,0.8,0.01961,22.6,0
PX000225,19999,insufficient_funds,netbanking,media,14,2,2,43,59,6,17684.95,1.131,0.875,0.04651,29.74,1
PX000226,499,suspicious_reversal,wallet,subscription,6,3,0,36,60,390,574.07,0.869,0.667,0.08333,22.91,0
PX000227,999,suspicious_reversal,card,ecommerce,3,4,3,50,17,3,1094.65,0.913,0.429,0.08,44.9,0
PX000228,499,suspicious_reversal,wallet,ecommerce,6,3,2,57,20,50,488.64,1.021,0.667,0.05263,40.41,0
PX000229,1499,bank_timeout,wallet,subscription,10,2,2,40,36,38,1969.66,0.761,0.833,0.05,33.35,0
PX000230,2499,insufficient_funds,netbanking,saas,9,1,3,8,25,374,1830.53,1.365,0.9,0.125,28.55,1
PX000231,1999,expired_card,netbanking,subscription,7,1,3,44,9,425,1520.87,1.314,0.875,0.02273,36.61,0
PX000232,999,expired_card,upi,ecommerce,7,1,3,36,34,672,899.58,1.111,0.875,0.02778,42.06,1
PX000233,1999,insufficient_funds,netbanking,subscription,5,0,2,31,18,223,1487.75,1.344,1.0,0.0,29.65,1
PX000234,1499,mandate_expired,card,ecommerce,3,3,2,35,1,415,1893.22,0.792,0.5,0.08571,11.72,0
PX000235,1499,insufficient_funds,card,subscription,8,5,2,9,41,427,953.29,1.572,0.615,0.55556,39.66,1
PX000236,4999,mandate_expired,card,ecommerce,8,1,3,30,7,478,5144.25,0.972,0.889,0.03333,11.8,0
PX000237,1999,suspicious_reversal,card,saas,9,2,0,17,1,262,1965.29,1.017,0.818,0.11765,23.96,0
PX000238,499,expired_card,card,subscription,8,3,2,7,14,220,471.54,1.058,0.727,0.42857,14.68,0
PX000239,19999,insufficient_funds,netbanking,subscription,13,0,0,40,26,632,14262.19,1.402,1.0,0.0,17.89,1
