customer_id,amount,date,failure_reason,previous_successes,previous_failures,retry_count,recovery_probability_simulated,recovered
C0030,1999,2026-08-16,suspicious_reversal,10,3,0,0.15499999999999997,0
C0031,2499,2026-08-07,insufficient_funds,19,4,0,0.6400000000000001,0
C0032,1499,2026-08-07,suspicious_reversal,7,5,1,0.05,0
C0033,499,2026-07-28,suspicious_reversal,6,1,0,0.14499999999999996,0
C0034,799,2026-08-20,mandate_expired,6,4,0,0.3,0
C0035,4999,2026-08-07,mandate_expired,21,3,3,0.16499999999999998,0
C0036,1999,2026-08-09,bank_timeout,7,4,3,0.52,1
C0037,499,2026-08-17,bank_timeout,15,2,1,0.79,1
C0038,9999,2026-08-11,card_expired,19,3,2,0.44499999999999995,0
C0039,2499,2026-08-15,bank_timeout,7,1,2,0.645,1
C0040,499,2026-08-08,bank_timeout,19,1,0,0.885,1
C0041,2499,2026-08-25,suspicious_reversal,4,4,1,0.05,0
C0042,999,2026-08-22,card_expired,1,5,3,0.195,0
C0043,799,2026-08-19,bank_timeout,3,3,2,0.575,0
C0044,2499,2026-08-12,mandate_expired,7,5,0,0.295,0
C0045,2499,2026-08-07,card_expired,19,2,0,0.62,0
C0046,999,2026-08-02,card_expired,11,3,2,0.4049999999999999,0
C0047,4999,2026-08-27,insufficient_funds,13,3,3,0.395,1
C0048,2499,2026-08-20,bank_timeout,8,1,0,0.815,1
C0049,499,2026-07-29,insufficient_funds,6,4,3,0.31000000000000005,0
C0050,999,2026-08-24,suspicious_reversal,6,2,1,0.05,0
C0051,499,2026-08-17,mandate_expired,20,4,2,0.22999999999999995,1
C0052,1499,2026-08-15,mandate_changed_recently,17,1,1,0.555,1
C0053,9999,2026-08-12,insufficient_funds,13,5,3,0.3650000000000001,0
C0054,2499,2026-08-05,card_expired,15,1,2,0.475,0
C0055,499,2026-08-10,mandate_changed_recently,1,4,0,0.45,0
C0056,799,2026-07-30,mandate_changed_recently,13,5,2,0.395,0
C0057,799,2026-08-03,mandate_changed_recently,4,4,1,0.4,0
C0058,9999,2026-08-08,mandate_changed_recently,14,5,1,0.48500000000000004,0
C0059,4999,2026-08-09,card_expired,15,1,2,0.475,1
C0060,499,2026-08-08,card_expired,11,2,3,0.33999999999999997,1
C0061,2499,2026-08-04,bank_timeout,16,0,1,0.8200000000000001,1
C0062,499,2026-08-17,card_expired,19,3,3,0.365,0
C0063,1499,2026-08-22,bank_timeout,18,2,3,0.63,1
C0064,799,2026-08-13,suspicious_reversal,10,2,0,0.16999999999999998,0
C0065,9999,2026-08-10,card_expired,5,4,0,0.49000000000000005,0
C0066,1999,2026-08-03,insufficient_funds,16,5,2,0.4650000000000001,0
C0067,499,2026-07-31,suspicious_reversal,18,1,0,0.235,0
C0068,999,2026-08-24,card_expired,14,0,1,0.56,1
C0069,1499,2026-08-06,mandate_expired,4,1,0,0.32499999999999996,1
C0070,1499,2026-08-24,mandate_expired,22,0,0,0.44999999999999996,1
C0071,1499,2026-08-05,insufficient_funds,3,2,2,0.39,1
C0072,1999,2026-08-22,mandate_changed_recently,2,0,2,0.36,0
C0073,1999,2026-08-15,card_expired,22,2,1,0.54,0
C0074,9999,2026-08-06,insufficient_funds,4,3,3,0.30500000000000005,1
C0075,9999,2026-08-04,mandate_expired,7,4,0,0.31,1
C0076,1499,2026-08-20,suspicious_reversal,25,3,0,0.20499999999999996,0
C0077,999,2026-08-08,mandate_changed_recently,11,4,2,0.39,1
C0078,1999,2026-07-28,mandate_changed_recently,23,3,0,0.605,0
C0079,2499,2026-08-26,card_expired,22,5,0,0.5750000000000001,1
C0080,1499,2026-07-31,mandate_changed_recently,15,4,2,0.43000000000000005,0
C0081,799,2026-08-14,insufficient_funds,0,0,2,0.39,0
C0082,4999,2026-08-27,card_expired,6,5,2,0.32500000000000007,0
C0083,2499,2026-08-03,mandate_changed_recently,14,4,0,0.5800000000000001,0
C0084,1999,2026-08-15,suspicious_reversal,1,4,1,0.05,0
C0085,4999,2026-08-27,bank_timeout,10,0,3,0.61,1
C0086,9999,2026-08-23,suspicious_reversal,3,2,1,0.05,0
C0087,999,2026-08-07,bank_timeout,8,2,1,0.72,0
C0088,999,2026-08-14,suspicious_reversal,17,0,3,0.05,0
C0089,2499,2026-08-14,card_expired,6,0,3,0.32000000000000006,1
C0090,1499,2026-08-01,card_expired,4,3,0,0.49500000000000005,0
C0091,499,2026-08-08,mandate_changed_recently,18,1,0,0.635,1
C0092,2499,2026-08-24,card_expired,3,0,2,0.37,0
C0093,799,2026-08-24,card_expired,9,2,2,0.3999999999999999,0
C0094,1499,2026-08-22,mandate_expired,4,4,2,0.11999999999999997,0
C0095,1499,2026-08-11,bank_timeout,17,1,1,0.805,1
C0096,9999,2026-08-17,mandate_changed_recently,18,5,3,0.3350000000000001,0
C0097,799,2026-08-06,suspicious_reversal,8,0,2,0.05,0
C0098,1499,2026-08-17,mandate_expired,9,4,0,0.33,1
C0099,799,2026-08-01,mandate_changed_recently,10,2,1,0.48999999999999994,1
C0100,2499,2026-08-19,insufficient_funds,16,4,1,0.5600000000000002,0
C0101,1999,2026-08-26,mandate_expired,6,0,1,0.27999999999999997,0
C0102,799,2026-08-23,suspicious_reversal,10,3,2,0.05,0
C0103,1999,2026-08-21,card_expired,14,3,2,0.43499999999999994,1
C0104,499,2026-08-17,bank_timeout,0,0,3,0.51,0
C0105,799,2026-08-19,mandate_changed_recently,2,0,2,0.36,0
C0106,1999,2026-08-06,mandate_changed_recently,23,1,1,0.555,0
C0107,2499,2026-08-05,bank_timeout,7,4,0,0.76,1
C0108,1499,2026-08-10,insufficient_funds,25,0,2,0.54,1
C0109,4999,2026-08-10,mandate_changed_recently,12,2,0,0.59,1
C0110,799,2026-08-07,bank_timeout,4,0,3,0.55,0
C0111,999,2026-08-23,card_expired,1,2,2,0.31999999999999995,0
C0112,1499,2026-08-23,suspicious_reversal,8,1,2,0.05,0
C0113,799,2026-08-02,insufficient_funds,18,4,2,0.4800000000000001,1
C0114,9999,2026-08-11,insufficient_funds,1,2,2,0.37,0
C0115,2499,2026-08-24,insufficient_funds,15,4,3,0.40000000000000013,1
C0116,499,2026-08-19,insufficient_funds,10,0,3,0.41000000000000003,0
C0117,4999,2026-08-22,mandate_changed_recently,16,4,3,0.3500000000000001,0
C0118,4999,2026-08-15,suspicious_reversal,21,3,1,0.12499999999999996,0
C0119,1499,2026-08-22,insufficient_funds,23,4,3,0.40000000000000013,0
C0120,799,2026-08-06,mandate_expired,4,2,1,0.22999999999999993,0
C0121,799,2026-08-11,bank_timeout,10,5,2,0.615,1
C0122,1999,2026-08-26,bank_timeout,8,4,3,0.53,0
C0123,2499,2026-08-16,bank_timeout,13,1,3,0.625,1
C0124,2499,2026-08-12,mandate_expired,19,3,1,0.32499999999999996,0
C0125,4999,2026-07-28,mandate_expired,18,0,2,0.2899999999999999,1
C0126,2499,2026-08-18,insufficient_funds,2,3,0,0.525,1
C0127,999,2026-08-06,bank_timeout,7,4,2,0.6,1
C0128,1499,2026-08-10,mandate_changed_recently,14,3,2,0.43499999999999994,1
C0129,1499,2026-08-04,mandate_changed_recently,25,4,2,0.43000000000000005,1
C0130,2499,2026-08-08,bank_timeout,12,0,2,0.71,1
C0131,4999,2026-08-10,mandate_expired,17,4,1,0.30999999999999994,1
C0132,499,2026-08-20,card_expired,10,5,2,0.365,0
C0133,4999,2026-08-17,mandate_changed_recently,24,5,2,0.41500000000000004,0
C0134,9999,2026-08-06,mandate_expired,1,0,0,0.31,0
C0135,4999,2026-08-04,mandate_expired,18,2,2,0.2599999999999999,0
C0136,4999,2026-08-03,mandate_expired,21,2,2,0.2599999999999999,1
C0137,999,2026-08-10,mandate_expired,0,5,1,0.14499999999999996,0
C0138,2499,2026-08-02,insufficient_funds,21,1,3,0.44500000000000006,0
C0139,1999,2026-08-18,mandate_expired,5,5,0,0.27499999999999997,0
C0140,1999,2026-08-08,suspicious_reversal,16,5,0,0.175,1
C0141,1999,2026-07-31,mandate_expired,18,5,0,0.37499999999999994,0
C0142,999,2026-08-12,mandate_changed_recently,6,2,0,0.53,1
C0143,499,2026-08-08,mandate_expired,2,2,3,0.050000000000000044,0
C0144,799,2026-08-20,mandate_expired,7,1,0,0.355,0
C0145,9999,2026-08-26,card_expired,18,1,2,0.475,1
C0146,1999,2026-08-11,card_expired,25,1,3,0.395,1
C0147,4999,2026-08-13,card_expired,24,5,3,0.3350000000000001,1
C0148,1499,2026-08-12,mandate_changed_recently,25,1,3,0.395,0
C0149,2499,2026-08-18,insufficient_funds,3,2,0,0.55,1
C0150,2499,2026-08-18,suspicious_reversal,21,4,0,0.18999999999999997,1
C0151,1999,2026-08-17,bank_timeout,2,4,2,0.5499999999999999,0
C0152,2499,2026-08-07,mandate_expired,19,1,0,0.43499999999999994,0
C0153,1499,2026-07-28,suspicious_reversal,17,2,0,0.21999999999999997,1
C0154,9999,2026-07-28,card_expired,8,3,1,0.4549999999999999,0
C0155,2499,2026-08-17,suspicious_reversal,25,4,1,0.10999999999999997,1
C0156,999,2026-08-07,bank_timeout,18,2,0,0.87,1
C0157,9999,2026-07-29,suspicious_reversal,15,0,2,0.08999999999999997,0
C0158,1499,2026-08-10,card_expired,13,1,3,0.375,0
C0159,999,2026-07-29,card_expired,2,1,1,0.425,0
C0160,799,2026-08-11,card_expired,8,5,0,0.505,0
C0161,2499,2026-08-21,bank_timeout,5,1,1,0.7050000000000001,1
C0162,1499,2026-08-16,mandate_changed_recently,21,0,1,0.5700000000000001,0
C0163,1499,2026-07-29,bank_timeout,23,1,2,0.725,1
C0164,9999,2026-08-16,insufficient_funds,14,4,3,0.3900000000000001,1
C0165,999,2026-08-12,card_expired,6,2,1,0.45,0
C0166,4999,2026-08-12,card_expired,8,3,1,0.4549999999999999,1
C0167,499,2026-08-26,insufficient_funds,23,4,1,0.5600000000000002,0
C0168,9999,2026-08-21,bank_timeout,8,5,3,0.515,0
C0169,999,2026-08-18,insufficient_funds,1,3,0,0.515,1
C0170,4999,2026-08-13,suspicious_reversal,6,1,2,0.05,0
C0171,999,2026-08-02,mandate_expired,10,2,3,0.13,0
C0172,499,2026-08-08,mandate_expired,4,5,0,0.26499999999999996,0
C0173,2499,2026-08-12,mandate_expired,11,2,2,0.22,0
C0174,4999,2026-08-08,mandate_changed_recently,14,2,1,0.53,0
C0175,799,2026-08-24,insufficient_funds,9,0,1,0.56,1
C0176,499,2026-08-19,mandate_changed_recently,13,5,3,0.31500000000000006,1
C0177,499,2026-07-31,suspicious_reversal,0,0,2,0.05,0
C0178,999,2026-08-23,suspicious_reversal,16,1,3,0.05,0
C0179,4999,2026-08-20,card_expired,14,2,3,0.37,0
C0180,999,2026-08-09,suspicious_reversal,16,2,2,0.05999999999999997,0
C0181,999,2026-08-19,card_expired,7,0,3,0.33000000000000007,0
C0182,1499,2026-08-08,mandate_changed_recently,7,0,1,0.49000000000000005,0
C0183,499,2026-08-04,card_expired,16,2,0,0.62,1
C0184,799,2026-08-12,mandate_expired,18,0,2,0.2899999999999999,0
C0185,1499,2026-07-30,insufficient_funds,4,5,2,0.3550000000000001,0
C0186,9999,2026-08-11,mandate_changed_recently,16,4,3,0.3500000000000001,0
C0187,1999,2026-08-14,insufficient_funds,6,1,3,0.3550000000000001,0
C0188,1499,2026-08-18,mandate_expired,12,3,1,0.295,1
C0189,999,2026-08-07,insufficient_funds,24,3,2,0.495,0
C0190,2499,2026-08-05,mandate_expired,19,3,3,0.16499999999999998,0
C0191,1999,2026-08-18,card_expired,5,0,0,0.55,0
C0192,4999,2026-08-02,mandate_changed_recently,24,1,1,0.555,1
C0193,2499,2026-08-19,insufficient_funds,25,3,2,0.495,1
C0194,9999,2026-08-18,card_expired,22,0,2,0.49,0
C0195,799,2026-08-21,bank_timeout,3,2,3,0.51,1
C0196,9999,2026-08-06,mandate_changed_recently,15,5,2,0.41500000000000004,1
C0197,1999,2026-08-18,insufficient_funds,22,5,3,0.3850000000000001,0
C0198,9999,2026-08-25,mandate_expired,10,3,2,0.19500000000000003,0
C0199,499,2026-08-01,mandate_changed_recently,14,1,2,0.46499999999999997,1
C0200,9999,2026-08-18,mandate_expired,4,2,1,0.22999999999999993,0
